epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7537,0.45618,0.30075,0.76868,0.98668,0.96363,0.98546,0.92859,0.4128,0.27654,0.79445,0.00055464,0.00055464,0.00055464
2,140.095,0.53799,0.33831,0.77031,0.98635,0.97025,0.98709,0.91495,0.48874,0.34224,0.79855,0.000890466,0.000890466,0.000890466
3,209.578,0.4992,0.32569,0.7701,0.98846,0.96624,0.9868,0.91402,0.42181,0.3131,0.79857,0.00100625,0.00100625,0.00100625
4,279.501,0.4767,0.31273,0.77023,0.98441,0.97244,0.98682,0.93936,0.38639,0.28494,0.79515,0.000676802,0.000676802,0.000676802
5,349.395,0.45083,0.2974,0.77028,0.99352,0.96422,0.98797,0.9421,0.34322,0.24846,0.79328,0.000346736,0.000346736,0.000346736
