epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.51,0.44557,0.28418,0.76759,0.99371,0.965,0.9852,0.92619,0.39355,0.28881,0.79531,0.00055464,0.00055464,0.00055464
2,234.904,0.50142,0.30877,0.76841,0.9808,0.97242,0.98754,0.92798,0.4169,0.2902,0.79417,0.000890466,0.000890466,0.000890466
3,318.468,0.48777,0.30612,0.76914,0.98231,0.97111,0.98719,0.91533,0.45943,0.30666,0.79664,0.00100625,0.00100625,0.00100625
4,424.693,0.46524,0.29509,0.76899,0.99015,0.96953,0.98834,0.93938,0.37251,0.28544,0.79542,0.000676802,0.000676802,0.000676802
5,531.121,0.44052,0.28996,0.76937,0.9901,0.96702,0.98868,0.93997,0.34768,0.25324,0.79265,0.000346736,0.000346736,0.000346736
